grid_id,latitud_predicha,longitud_predicha,fecha_hora_prediccion,alcaldia,colonia,tipo_delito_predicho,rango_metros,probabilidad_prediccion
74_227,19.467289087203543,-99.0940001404864,2024-06-23 22:30:00,GUSTAVOA.MADERO,SAN PEDRO EL CHICO,HOMICIDIOS,600.0,0.5237428
46_198,19.329031053780085,-99.2434837934613,2024-04-30 13:30:00,LAMAGDALENACONTRERAS,SAN BARTOLO AMEYALCO,HOMICIDIOS,600.0,0.53210074
55_203,19.373801122677055,-99.2137823296074,2024-07-27 13:30:00,ALVAROOBREGON,OLIVAR DEL CONDE 2A SECCIÓN,HOMICIDIOS,600.0,0.50232595
81_203,19.501873391114348,-99.2106986269468,2024-08-12 04:30:00,AZCAPOTZALCO,EX-HACIENDA EL ROSARIO,HOMICIDIOS,600.0,0.51344955
53_247,19.36110003794285,-98.99663522676862,2024-04-19 10:30:00,IZTAPALAPA,ERMITA ZARAGOZA,HOMICIDIOS,600.0,0.5039276
57_241,19.381392980817267,-99.02651634491248,2024-04-24 16:30:00,IZTAPALAPA,SAN LORENZO XICOTENCATL,HOMICIDIOS,600.0,0.5054766
23_215,19.20905709584461,-99.15308796010578,2024-05-14 07:30:00,TLALPAN,PROLONGACION LOS ANGELES,HOMICIDIOS,600.0,0.5013582
44_229,19.32020436148332,-99.0862574819037,2024-07-04 22:30:00,IZTAPALAPA,EL VERGEL,HOMICIDIOS,600.0,0.53043103
31_227,19.252814537892572,-99.09341390205628,2024-03-06 01:30:00,XOCHIMILCO,BARRIO XALTOCAN,HOMICIDIOS,600.0,0.5688367
51_207,19.354002778386537,-99.19493704108116,2024-08-28 16:30:00,ALVAROOBREGON,TLACOPAC,HOMICIDIOS,600.0,0.5124116
48_246,19.335239756717023,-99.00085924858467,2024-02-16 13:30:00,IZTAPALAPA,IZTLAHUACÁN,HOMICIDIOS,600.0,0.5121686
52_190,19.360961538852877,-99.27716401317592,2024-03-04 13:30:00,CUAJIMALPADEMORELOS,LOMAS DE SANTA FE,HOMICIDIOS,600.0,0.50313395
31_220,19.255377443293145,-99.12998756512076,2024-04-20 22:30:00,XOCHIMILCO,SANTA CRUZ XOCHITEPEC,HOMICIDIOS,600.0,0.503895
71_228,19.451345201794545,-99.08987267522453,2024-09-24 16:30:00,GUSTAVOA.MADERO,SAN JUAN DE ARAGÓN II SECCIÓN,HOMICIDIOS,600.0,0.50890714
40_239,19.2958850660155,-99.03603424030123,2024-02-11 16:30:00,TLAHUAC,SANTIAGO SUR,HOMICIDIOS,600.0,0.5353454
64_225,19.41630855083051,-99.1050234329082,2024-01-16 13:30:00,VENUSTIANOCARRANZA,JARDÍN BALBUENA,HOMICIDIOS,600.0,0.5336966
44_196,19.316504861857968,-99.25183091640604,2024-09-08 19:30:00,LAMAGDALENACONTRERAS,LOS PADRES,HOMICIDIOS,600.0,0.5331896
46_188,19.327983515890793,-99.29044426487008,2024-01-03 19:30:00,ALVAROOBREGON,SANTA ROSA XOCHIAC,HOMICIDIOS,600.0,0.526097
53_208,19.36213455492531,-99.18741093964732,2024-04-10 04:30:00,ALVAROOBREGON,LOS ALPES,HOMICIDIOS,600.0,0.5478166
